Site,Lat,Long,Precip,Year
SC,35.20518,-106.44238,646.3120117,2015
SC,35.2058,-106.44234,646.3120117,2015
SH,31.917411,-109.278936,870.6350708,2015
SM,35.24837,-107.59946,766.2090454,2015
SM,35.24688,-107.60036,766.2090454,2015
SM,35.24745,-107.59966,766.2090454,2015
SM,35.24685,-107.59916,766.2090454,2015
SM,35.24711,-107.59861,766.2090454,2015
SS,32.78859,-105.786,886.967041,2015
SS,32.78859,-105.786,886.967041,2015
SS,32.78859,-105.786,886.967041,2015
UK,32.88197,-105.7748,939.243042,2015
UK,32.88197,-105.7748,939.243042,2015
UK,32.88197,-105.7748,939.243042,2015
VC,35.92265,-106.51702,770.019043,2015
VC,35.92213,-106.51733,770.019043,2015
VC,35.92178,-106.51765,770.019043,2015
CC,32.8038,-105.80444,543.434021,2016
CH,31.91744,-109.27863,1022.690063,2016
CH,31.91721,-109.27945,1022.690063,2016
CH,31.9176,-109.2793,1022.690063,2016
HM,33.63195,-109.32533,605.5830078,2016
HM,33.63202,-109.32601,605.5830078,2016
HM,33.63202,-109.32601,605.5830078,2016
HM,33.63233,-109.32636,605.5830078,2016
JC,35.85509,-105.64057,662.3610229,2016
JC,35.85482,-105.63925,662.3610229,2016
JC,35.8555,-105.63979,662.3610229,2016
JC,35.855092,-105.640575,662.3610229,2016
JM,36.02121,-106.58978,538.1000366,2016
MM,33.99105,-107.18371,523.7369995,2016
MM,33.99009,-107.18407,523.7369995,2016
MM,33.99193,-107.18359,523.7369995,2016
MM,33.991475,-107.183675,523.7369995,2016
PL,32.66931,-109.87794,756.382019,2016
PL,32.66931,-109.87794,756.382019,2016
PL,32.668392,-109.877642,756.382019,2016
PL,32.66931,-109.87794,756.382019,2016
RP,31.90382,-109.27888,1022.690063,2016
RP,31.90382,-109.27966,1022.690063,2016
RP,31.90382,-109.27966,1022.690063,2016
RP,31.9038,-109.28021,1022.690063,2016
SC,35.20589,-106.44305,379.065033,2016
SC,35.20635,-106.443375,379.065033,2016
SC,35.20518,-106.44238,379.065033,2016
SC,35.2058,-106.44234,379.065033,2016
SH,31.917411,-109.278936,1022.690063,2016
SM,35.24837,-107.59946,705.4180298,2016
SM,35.24688,-107.60036,705.4180298,2016
SM,35.24745,-107.59966,705.4180298,2016
SM,35.24685,-107.59916,705.4180298,2016
SM,35.24711,-107.59861,705.4180298,2016
SS,32.78859,-105.786,543.434021,2016
SS,32.78859,-105.786,543.434021,2016
SS,32.78859,-105.786,543.434021,2016
UK,32.88197,-105.7748,600.5830078,2016
UK,32.88197,-105.7748,600.5830078,2016
UK,32.88197,-105.7748,600.5830078,2016
VC,35.92265,-106.51702,515.1550293,2016
VC,35.92213,-106.51733,515.1550293,2016
VC,35.92178,-106.51765,515.1550293,2016
CC,32.8038,-105.80444,565.6060181,2017
CH,31.91744,-109.27863,574.0280151,2017
CH,31.91721,-109.27945,574.0280151,2017
CH,31.9176,-109.2793,574.0280151,2017
HM,33.63195,-109.32533,582.8540039,2017
HM,33.63202,-109.32601,582.8540039,2017
HM,33.63202,-109.32601,582.8540039,2017
HM,33.63233,-109.32636,582.8540039,2017
JC,35.85509,-105.64057,807.9330444,2017
JC,35.85482,-105.63925,807.9330444,2017
JC,35.8555,-105.63979,807.9330444,2017
JC,35.855092,-105.640575,807.9330444,2017
JM,36.02121,-106.58978,575.6920166,2017
MM,33.99105,-107.18371,355.6470032,2017
